Category,Approach,F1 Mean,F1 Std,F1 CI95 Low,F1 CI95 High,F1 p-value vs Best,Accuracy Mean,ROC-AUC Mean,Run Success Rate,Available
rule_based,Rule-Based Thresholding,0.46808510638297873,0.0,0.46808510638297873,0.46808510638297873,,0.75,0.7875974133642846,1.0,True
linear,Linear (Logistic Regression),0.5,0.0,0.5,0.5,1.0,0.8,0.8199303598076605,1.0,True
svm,N/A,,,,,,,,0.0,False
tree,Tree-Based (Random Forest),0.0,0.0,0.0,0.0,,0.815,0.8076604211573537,1.0,True
boosting,N/A,,,,,,,,0.0,False
neural,N/A,,,,,,,,0.0,False
instance_based,N/A,,,,,,,,0.0,False
probabilistic,N/A,,,,,,,,0.0,False
ensemble,N/A,,,,,,,,0.0,False
systems,N/A,,,,,,,,0.0,False
